	official_title	brief_title	drug	phases	nct_id
1509	A Phase 1b, Multicenter, Open-Label, Dose Escalation Study of SAR245409 to Evaluate the Safety, Tolerability and Clinical Activity of SAR245409 in Combination With Rituximab or Bendamustine Plus Rituximab in Patients With Relapsed or Refractory Indolent B-cell Non-Hodgkin Lymphoma, Mantle Cell Lymphoma or Chronic Lymphocytic Leukemia	Study Combining SAR245409 With Rituximab or Bendamustine Plus Rituximab in Patients With Indolent Lymphoma, Mantle Cell Lymphoma and Chronic Lymphocytic Leukemia	SAR245409	1	NCT01410513
1510	Vaccination of Lymphoma Patients With Dendritic Cell-lymphoma Cell Hybrids and Dendritic Cells Pulsed With Tumor Lysates	Dendritic Cell Vaccine in Treating Patients With Indolent B-Cell Lymphoma or Multiple Myeloma	 	1 2	NCT00937183
1511	A Randomized, Open Label Study of Ofatumumab and Bendamustine Combination Therapy Compared With Bendamustine Monotherapy in Indolent B-cell Non-Hodgkin's Lymphoma Unresponsive to Rituximab or a Rituximab-Containing Regimen During or Within Six Months of Treatment	Ofatumumab and Bendamustine Combination Therapy Compared With Bendamustine Monotherapy in Indolent B-cell Non-Hodgkin's Lymphoma (NHL) Unresponsive to Rituximab or a Rituximab-Containing Regimen	Ofatumumab and Bendamustine infusions (Arm A) | Bendamustine infusion (Arm B)	3	NCT01077518
1512	A Phase Ib Study of SGN-40 in Combination With Rituximab and Gemcitabine for the Treatment of Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)	Trial to Define the Safety and Tolerability of SGN-40, Rituximab, and Gemcitabine in Patients With DLBCL	SGN-40 | rituximab | gemcitabine	1	NCT00655837
1513	A Phase I/II Study Evaluating the Safety and Efficacy of Adding a Single Prophylactic Donor Lymphocyte Infusion (DLI) of Natural Killer Cells Early After Nonmyeloablative, HLA-Haploidentical Hematopoietic Cell Transplantation - A Multi Center Trial	Fludarabine Phosphate, Cyclophosphamide, Total-Body Irradiation, and Donor Bone Marrow Transplant Followed by Donor Natural Killer Cell Therapy, Mycophenolate Mofetil, and Tacrolimus in Treating Patients With Hematologic Cancer	Cyclophosphamide | Fludarabine Phosphate | Mycophenolate Mofetil | Tacrolimus	1 2	NCT00789776
1514	Pilot Study of Autologous T Lymphocytes With Antibody-Dependent Cell Cytotoxicity in Patients With CD20-Positive B-Cell Malignancies	Pilot Study of Autologous T Lymphocytes With ADCC in Patients With CD20-Positive B-Cell Malignancies	T-cell therapy + Rituximab + IL-2	1 2	NCT02315118
1515	EPOCH Chemotherapy Plus Rituximab for Previously Treated Patients With AIDS-Associated Lymphoma	EPOCH Chemotherapy +/- IL-12 for Previously Untreated and EPOCH Plus Rituximab for Previously Treated Patients With AIDS-Associated Lymphoma	EPOCH	2	NCT00001563
1516	A Randomized Trial of the Effect of a Walking Regimen on the Functional Status of Adult Allogeneic Donor Bone Marrow Transplant Patients	A Structured Walking Program or Standard Therapy in Cancer Patients Undergoing a Donor Bone Marrow Transplant	 	2	NCT00445731
1517	Oncogenic Viral Pathogenesis and Cancer Risk Factors Among Patients With the Acquired Immunodeficiency Syndrome: A Prospective Cohort Study	A Study of Patients With AIDS Syndrome	 		NCT00001120
1518	Oral Beclomethasone Dipropionate Capsules for Treatment of Intestinal Graft-Versus-Host Disease: Compassionate Use in Patients With Contraindictions to High-Dose Immunosuppressive Therapy	Beclomethasone in Treating Patients With Graft-Versus-Host Disease of the Esophagus, Stomach, Small Intestine, or Colon	beclomethasone dipropionate	1 2	NCT00010283
1519	Observational - Candidate Gene Variants and Childhood/Adolescent Non-Hodgkin Lymphoma: A Preliminary Investigation	Studying Genes Associated With Non-Hodgkin Lymphoma in Young Patients	 		NCT01623856
1520	A Phase I/II Study of Flavopiridol Administered as a 30-Minute Bolus Followed by a 4-Hour Infusion in Lymphomas and Multiple Myeloma	Flavopiridol in Treating Patients With Relapsed or Refractory Lymphoma or Multiple Myeloma	alvocidib	1 2	NCT00112723
1521	Campath-1H Snd Allogeneic Blood Stem Cell Transplantation for Lymphoid Malignancies	Campath-1H and Allogeneic Blood Stem Cell Transplantation for Lymphoid Malignancies	Campath-1H	1 2	NCT00038883
1522	Randomized Phase III Trial Comparing Two Different Rituximab Dosing Regimens For Patients With Low Tumor Burden Indolent Non-Hodgkin's Lymphoma	Rituximab in Treating Patients With Low Tumor Burden Indolent Non-Hodgkin's Lymphoma	 	3	NCT00075946
1523	HORIZONS: a Cohort Study to Explore Recovery of Health and Well-being in Adults Diagnosed With Cancer	HORIZONS: Understanding the Impact of Cancer Diagnosis and Treatment on Everyday Life	 		NCT03000192
1524	A Multicenter, Open-label, Expanded Access Study of Axicabtagene Ciloleucel for the Treatment of Subjects With Relapsed/Refractory Large B-cell Lymphoma.	Axicabtagene Ciloleucel Expanded Access Study	 		NCT03153462
1525	A Phase 1/2 Dose Escalation and Cohort Expansion Study of the Safety and Tolerability of Urelumab Administered in Combination With Nivolumab in Advanced/Metastatic Solid Tumors and B-cell Non-Hodgkins Lymphoma	An Investigational Immuno-therapy Study to Determine the Safety of Urelumab Given in Combination With Nivolumab in Solid Tumors and B-cell Non-Hodgkin's Lymphoma	 	1 2	NCT02253992
1526	FDG-PET-Stratified R-DICEP and R-BEAM/ASCT For Diffuse Large B-Cell Lymphoma	FDG-PET-Stratified R-DICEP and R-Beam/ASCT For Diffuse Large B-Cell Lymphoma	R-CHOP (Rituximab, Cyclphosphamide), Etoposide, Cisplatin, Mesna, G-CSF	1 2	NCT00530179
1527	A Phase II Study of the Bruton's Tyrosine Kinase Inhibitor, PCI-32765 (Ibrutinib), in Combination With Bendamustine and Rituximab (BR) for Patients With Relapsed/Refractory Aggressive B Cell Lymphomas	Study of Ibrutinib in Combination With Bendamustine and Rituximab for Patients With Relapsed/Refractory Aggressive BCL	Bendamustine 90 mg/m2 IV on Days 1-2, Cycles 1-6	2	NCT02747732
1528	Pilot Study Evaluating Aprepitant (MK-869) for Prevention of Nausea & Vomiting Secondary to High Dose Cyclophosphamide Administered to Patients Underging Undergoing Peripheral Hematopoietic Progenitor Cell Mobilization Prior to Autologous Transplantation	Aprepitant, Granisetron, & Dexamethasone in Preventing Nausea & Vomiting in Pts. Receiving Cyclophosphamide Before a Stem Cell Transplant	Aprepitant | Cyclophosphamide | Dexamethasone | Granisetron hydrochloride	2	NCT00293384
1529	An Open-Label, Multicenter, Phase I/IB Trial Evaluating the Safety and Pharmacokinetics of Escalating Doses of BTCT4465A as a Single Agent and Combined With Atezolizumab in Patients With Relapsed or Refractory B-Cell Non-Hodgkin's Lymphoma and Chronic Lymphocytic Leukemia	A Safety and Pharmacokinetic Study of BTCT4465A (Mosunetuzumab) as a Single Agent and Combined With Atezolizumab in Non-Hodgkin's Lymphoma (NHL) and Chronic Lymphocytic Leukemia (CLL)	BTCT4465A (Mosunetuzumab) IV | Atezolizumab | BTCT4465A (Mosunetuzumab) SC	1	NCT02500407
1530	A Phase I Study of Intratumoral Poly-ICLC Plus Low Dose Local Radiation in Low Grade Recurrent B and T Cell Lymphoma	Intratumoral Poly-ICLC Plus Low Dose Local Radiation in Low Grade Recurrent B and T Cell Lymphoma	Poly-ICLC	1	NCT00880867
1531	Pilot Study of Autologous Anti-CD22 Chimeric Antigen Receptor Redirected T Cells In Patients With Chemotherapy Resistant Or Refractory Acute Lymphoblastic Leukemia	Pilot Study of Autologous Anti-CD22 Chimeric Antigen Receptor Redirected T Cells In Patients With Chemotherapy Resistant Or Refractory Acute Lymphoblastic Leukemia	 	1	NCT02588456
1532	A Phase 2 Study Evaluating the Efficacy of Epigenetic Modulation in Relapsed/Refractory Follicular Lymphoma and Marginal Zone Lymphoma	Epigenetic Modulation in Relapsed/Refractory Follicular Lymphoma and Marginal Zone Lymphoma	azacitidine | lenalidomide	2	NCT01121757
1533	A Pilot Study to Evaluate the Co-infusion of Ex Vivo Expanded Umbilical Cord Blood Progenitors With an Unmanipulated Cord Blood Graft in Patients Undergoing Umbilical Cord Blood Transplantation for Hematologic Malignancies	A Pilot Study to Evaluate the Co-Infusion of Ex Vivo Expanded Cord Blood Cells With an Unmanipulated Cord Blood Unit in Patients Undergoing Cord Blood Transplant for Hematologic Malignancies	cyclophosphamide | fludarabine phosphate | cyclosporine | mycophenolate mofetil	1	NCT00343798
1534	"LS1081, ""A Pilot Study of Dendritic Cell Therapy Delivered Intratumorally After Cryoablation or Intradermally for Patients With B-Cell Non-Hodgkin's Lymphoma"""	Vaccine Therapy With or Without Cryosurgery in Treating Patients With Residual, Relapsed, or Refractory B-Cell Non-Hodgkin Lymphoma	 	1	NCT01239875
1535	Pilot Study of Redirected Autologous T Cells Transduced to Express A CD20-Specific Chimeric Immunoreceptor in Patient With Chemotherapy Resistant or Refractory CD20+ Leukemia and Lymphoma	Genetically Engineered Lymphocyte Therapy in Treating Patients With Lymphoma That is Resistant or Refractory to Chemotherapy	 	1 2	NCT01735604
1536	A Phase I Trial of the Combination of Oxaliplatin (NSC 266046, IND 57004), Ifosfamide, and Etoposide in Recurrent or Refractory Pediatric Solid Tumors and Lymphomas	Oxaliplatin, Ifosfamide and Etoposide in Treating Young Patients With Recurrent or Refractory Solid Tumors or Lymphoma	oxaliplatin | etoposide	1	NCT00101205
1537	Phase 3 Randomized, Double-Blind, Placebo Controlled, Multicenter Study to Compare the Efficacy and Safety of Lenalidomide (CC-5013) Plus R-CHOP Chemotherapy (R2-CHOP) Versus Placebo Plus R-CHOP Chemotherapy in Subjects With Previously Untreated Activated B-cell Type Diffuse Large B-cell Lymphoma	Efficacy and Safety Study of Lenalidomide Plus R-CHOP Chemotherapy Versus Placebo Plus R-CHOP Chemotherapy in Untreated ABC Type Diffuse Large B-cell Lymphoma	lenalidomide | Placebo | Rituximab | Cyclophosphamide | Doxorubicin | prednisone | vincristine	3	NCT02285062
1538	A Phase I Trial of Palbociclib in Combination With Dexamethasone in Relapsed or Refractory Adult B-Cell Acute Lymphoblastic Leukemia (ALL)	Palbociclib and Dexamethasone in Treating Participants With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia	Palbociclib | Dexamethasone	1	NCT03472573
1539	Phase I and Pharmacokinetic Study of Vorinostat for Solid Tumors and Lymphomas in Patients With Varying Degrees of Hepatic Dysfunction	Vorinostat in Treating Patients With Metastatic or Unresectable Solid Tumors or Lymphoma and Liver Dysfunction	vorinostat	1	NCT00499811
1540	Phase II Trial of Rituximab (R) Augmentation Following R-CHOP (Cyclophosphamide, Doxorubicin, Vincristine, and Prednisolone) Induction Chemotherapy in Extremely Elderly Patients With Diffuse Large B Cell Lymphoma (DLBCL)	Rituximab Augmentation Following R-CHOP Induction Chemotherapy in Extremely Elderly Patients With Diffuse Large B Cell Lymphoma	rituximab	2	NCT01181999
1541	A Phase 1, Open-Label, Multicentre, Non-Randomized Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Antitumor Activity of AZD4573, a Potent and Selective CDK9 Inhibitor, in Subjects With Relapsed or Refractory Haematological Malignancies	Study to Assess Safety, Tolerability, Pharmacokinetics and Antitumor Activity of AZD4573 in Relapsed/Refractory Haematological Malignancies	AZD4573	1	NCT03263637
1542	Multicenter Phase II Single Arm Open-label Study on the Feasibility, Safety and Efficacy of Combination of CHOP-21 Supplemented With Obinutuzumab and Ibrutinib in Untreated Young High Risk Diffuse Large B-cell Lymphoma (DLBCL) Patients.	Phase II Study About Combination CHOP-21, Obinutuzumab and Ibrutinib in Untreated Young High Risk DLBCL Patients.	Obinutuzumab | Ibrutinib | CHOP	2	NCT02670317
1543	Phase 1 Study of ACTR087, Autologous T Lymphocytes Expressing Antibody Coupled T-cell Receptors (CD16V-41BB-CD3ζ), in Combination With Rituximab, in Subjects With Relapsed or Refractory CD20-Positive B-Cell Lymphoma	Study of ACTR087 in Subjects With Relapsed or Refractory B-cell Lymphoma	 	1	NCT02776813
1544	Phase I/II Study of Dasatinib in Recipients of Allogeneic Stem Cell Transplantation for Hematologic Malignancies.	Dasatinib for Immune Modulation After Donor Stem Cell Transplant for Hematologic Malignancies	Dasatinib	1 2	NCT01643603
1545	Randomized Intergroup Trial of First Line Treatment for Patients With Diffuse Large B-Cell Non-Hodgkin's Lymphoma With a CHOP-Like Chemotherapy Regimen With or Without the Anti-CD20 Antibody Rituximab (IDEC-C2B8)	Combination Chemotherapy With or Without Rituximab in Treating Patients With Non-Hodgkin's Lymphoma	CHOP regimen	3	NCT00064116
1546	Lenalidomide and Rituximab Treatment of Relapsed Mantle Cell Lymphoma and Diffuse Large B-Cell Non-Hodgkin's Lymphoma, Transformed Large Cell Lymphoma, and/or Grade 3 Follicular Lymphoma (Follicular Cleaved Large Cell Lymphoma or Follicular Non-Cleaved Large Cell Lymphoma (RV-LYM-PI-0056)	Lenalidomide and Rituximab in the Treatment of Relapsed Mantle Cell Lymphoma (MCL) and Diffuse Large B-Cell Lymphoma	Lenalidomide | Rituximab	1 2	NCT00294632
1547	Phase I/II Radioimmunotherapy of Non-Hodgkin's Lymphoma With High-Dose 90Y-Labeled Humanized LL2 Anti-CD-22 Antibody and Peripheral Blood Stem Cell Rescue	Radiolabeled Monoclonal Antibody Therapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Lymphoma or Waldenstrom's Macroglobulinemia	 	1 2	NCT00004107
1548	A Phase 1/2 Proof-of-Concept Study of the Combination of ACP-196 and ACP-319 in Subjects With B-cell Malignancies	ACP-196 in Combination With ACP-319, for Treatment of B-Cell Malignancies	ACP-196 and ACP-319 | ACP-196 and ACP-319	1 2	NCT02328014
1549	A Phase 1 Study of Lenalidomide Maintenance Following Allogeneic Hematopoietic Cell Transplantation in Patients With Select High Risk Hematological Malignancies	Lenalidomide After Donor Bone Marrow Transplant in Treating Patients With High-Risk Hematologic Cancers	Lenalidomide	1	NCT01254578
1550	A Multi-Center, Phase II Trial of Nonmyeloablative Conditioning (NST) and Transplantation of Partially HLA-Mismatched Bone Marrow From Related Donors for Patients With Hematologic Malignancies (BMT CTN #0603)	Bone Marrow Transplant From Partially Matched Donors and Nonmyeloablative Conditioning for Blood Cancers (BMT CTN 0603)	 	2	NCT00849147
1551	Clinical Phase II Trial to Evaluate the Safety and Efficacy of Treosulfan Based Conditioning Prior to Allogeneic Haematopoietic Stem Cell Transplantation in Patients With Haematological Malignancies	Clinical Trial to Evaluate the Safety and Efficacy of Treosulfan Based Conditioning Prior to Allogeneic Haematopoietic Stem Cell Transplantation (HSCT)	Treosulfan IV	2	NCT00598624
1552	Phase I Trial of Interleukin-12 Followed by Interferon-Alpha	Interleukin-12 Followed by Interferon Alfa in Treating Patients With Advanced Cancer	 	1	NCT00003451
1553	CURRENT PRACTICE STUDY OF ANTIBIOTIC TREATMENT OF GASTRIC MALT LYMPHOMA	Antibiotic Therapy and Antacids in Patients With Malt Lymphoma of the Stomach	Amoxicillin | Bismuth Subsalicylate | Clarithromycin | Metronidazole Hydrochloride | Omeprazole | Tetracycline Hydrochloride	2	NCT00002682
1554	Phase I/II Study of Anti-CTLA-4 Monoclonal Antibody (MDX-010) in B-cell Non-Hodgkin's Lymphoma	MDX-010 in Treating Patients With Recurrent or Refractory Lymphoma	 	1 2	NCT00089076
1555	Study of Safety and Efficacy of Anti-CD19 Chimeric Antigen Receptor T Cell(C-CAR011) Treatment in Subjects With Relapsed or Refractory B Cell Non-Hodgkin Lymphoma	Study of Safety and Efficacy of C-CAR011 in B-NHL Patients	 	1	NCT03154775
1556	An Open-label, Randomized, Phase 3 Study Of Inotuzumab Ozogamicin Administered In Combination With Rituximab Compared To Defined Investigator's Choice Therapy In Subjects With Relapsed Or Refractory Cd22-positive Aggressive Non-hodgkin Lymphoma Who Are Not Candidates For Intensive High-dose Chemotherapy	A Study Of Inotuzumab Ozogamicin Plus Rituximab For Relapsed/Refractory Aggressive Non-Hodgkin Lymphoma Patients Who Are Not Candidates For Intensive High-Dose Chemotherapy	Inotuzumab ozogamicin | Rituximab | rituximab + gemcitabine | rituximab +bendamustine	3	NCT01232556
1557	A Phase II, Single-Arm, Open-Label Study of the Safety, Pharmacokinetics, and Efficacy of Multiple Doses of PRO95780 Administered Intravenously in Combination With Rituximab in Patients With Follicular, CD20-Positive B-Cell Non-Hodgkin's Lymphoma That Has Progressed Following Previous Rituximab Therapy	A Study of PRO95780 in Combination With Rituximab in Patients With Non-Hodgkin's Lymphoma That Has Progressed Following Previous Rituximab Therapy (APM4083g)	PRO95780 | rituximab	2	NCT00517049
1558	Retrospective Analysis of Diffuse Large B-cell Lymphoma: Identification of Factors Associated With Treatment Resistance Via Gene Expression Profile	Treatment Resistance Related With Gene Expression Profile of Diffuse Large B-cell Lymphoma	 		NCT01606605
1559	Phase II Trial of Everolimus (RAD001) in Relapsed/Refractory Lymphoma	Everolimus in Treating Patients With Lymphoma That Has Relapsed or Not Responded to Previous Treatment	Everolimus	2	NCT00436618
